AID,package name,class token,class name,method type,method token,method name,method signature
A0000000620102,javacard.security,35,GenericSecretKey,virtual,5,getKey,short(byte[];short)
A0000000620102,javacard.security,23,HMACKey,virtual,0,clearKey,void()
A0000000620102,javacard.security,23,HMACKey,virtual,1,getSize,short()
A0000000620102,javacard.security,23,HMACKey,virtual,2,getType,byte()
A0000000620102,javacard.security,23,HMACKey,virtual,3,isInitialized,boolean()
A0000000620102,javacard.security,23,HMACKey,virtual,4,setKey,void(byte[];short;short)
A0000000620102,javacard.security,23,HMACKey,virtual,5,getKey,byte(byte[];short)
A0000000620102,javacard.security,10,DESKey,virtual,0,clearKey,void()
A0000000620102,javacard.security,10,DESKey,virtual,1,getSize,short()
A0000000620102,javacard.security,10,DESKey,virtual,2,getType,byte()
